# Network & Console Timeline
# Generated: 2026-04-28T03:28:26.909Z
# Columns: [+offset_ms]  category        method  status  duration  url

+   3761ms  hls-segment     GET     200      23ms  https://test-streams.mux.dev/x36xhzz/url_2/url_576/193039199_mp4_h264_aac_ld_7.ts   
+   3799ms  hls-segment     GET     200      28ms  https://test-streams.mux.dev/x36xhzz/url_2/url_577/193039199_mp4_h264_aac_ld_7.ts   
+   3819ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_578/193039199_mp4_h264_aac_ld_7.ts   
+   3850ms  hls-segment     GET     200      18ms  https://test-streams.mux.dev/x36xhzz/url_2/url_579/193039199_mp4_h264_aac_ld_7.ts   
+   3881ms  hls-segment     GET     200      21ms  https://test-streams.mux.dev/x36xhzz/url_2/url_580/193039199_mp4_h264_aac_ld_7.ts   
+   3907ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_581/193039199_mp4_h264_aac_ld_7.ts   
+   3944ms  hls-segment     GET     200      26ms  https://test-streams.mux.dev/x36xhzz/url_2/url_582/193039199_mp4_h264_aac_ld_7.ts   
+   3982ms  hls-segment     GET     200      26ms  https://test-streams.mux.dev/x36xhzz/url_2/url_583/193039199_mp4_h264_aac_ld_7.ts   
+   4017ms  hls-segment     GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_2/url_584/193039199_mp4_h264_aac_ld_7.ts   
+   4079ms  hls-segment     GET     200      25ms  https://test-streams.mux.dev/x36xhzz/url_2/url_585/193039199_mp4_h264_aac_ld_7.ts   
+   4131ms  hls-segment     GET     200      19ms  https://test-streams.mux.dev/x36xhzz/url_2/url_586/193039199_mp4_h264_aac_ld_7.ts   
